score,silhouette,num_clusters,clustered_percentage,noise_rate,min_cluster_size,min_samples,method,eps,metric
0.5490329411710342,0.38329464197158813,3285,0.6024223059697417,0.39757769403025833,5,1,eom,0.0,euclidean
0.056032479002244076,-0.41950300335884094,25,0.9989486045114424,0.00105139548855754,5,1,eom,0.02,euclidean
0.5106592768974506,0.29247573018074036,3,0.9997542192364411,0.00024578076355890547,5,1,eom,0.05,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,1,eom,0.1,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,1,eom,0.2,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,1,eom,0.3,euclidean
0.5284757473699073,0.3985598385334015,3983,0.4982795346550877,0.5017204653449123,5,1,leaf,0.0,euclidean
0.056032479002244076,-0.41950300335884094,25,0.9989486045114424,0.00105139548855754,5,1,leaf,0.02,euclidean
0.5106592768974506,0.29247573018074036,3,0.9997542192364411,0.00024578076355890547,5,1,leaf,0.05,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,1,leaf,0.1,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,1,leaf,0.2,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,1,leaf,0.3,euclidean
0.5586143150517887,0.4196702241897583,2534,0.5494838603965263,0.4505161396034737,5,2,eom,0.0,euclidean
0.05728980797379797,-0.4205171465873718,26,0.9988393686165274,0.001160631383472609,5,2,eom,0.02,euclidean
0.5106592768974506,0.29247573018074036,3,0.9997542192364411,0.00024578076355890547,5,2,eom,0.05,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,2,eom,0.1,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,2,eom,0.2,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,2,eom,0.3,euclidean
0.5455035828682666,0.4529232382774353,3173,0.4281910535802065,0.5718089464197935,5,2,leaf,0.0,euclidean
0.05728980797379797,-0.4205171465873718,26,0.9988393686165274,0.001160631383472609,5,2,leaf,0.02,euclidean
0.5106592768974506,0.29247573018074036,3,0.9997542192364411,0.00024578076355890547,5,2,leaf,0.05,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,2,leaf,0.1,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,2,leaf,0.2,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,2,leaf,0.3,euclidean
0.5823546671391744,0.4770863354206085,1305,0.4946474411491616,0.5053525588508384,5,5,eom,0.0,euclidean
0.06652439687268848,-0.40123021602630615,24,0.9979518269703425,0.0020481730296575454,5,5,eom,0.02,euclidean
0.5106592768974506,0.29247573018074036,3,0.9997542192364411,0.00024578076355890547,5,5,eom,0.05,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,5,eom,0.1,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,5,eom,0.2,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,5,eom,0.3,euclidean
0.5918382568631273,0.559821605682373,1679,0.3332104429515539,0.6667895570484461,5,5,leaf,0.0,euclidean
0.06652439687268848,-0.40123021602630615,24,0.9979518269703425,0.0020481730296575454,5,5,leaf,0.02,euclidean
0.5106592768974506,0.29247573018074036,3,0.9997542192364411,0.00024578076355890547,5,5,leaf,0.05,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,5,leaf,0.1,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,5,leaf,0.2,euclidean
0.552773507487475,0.35549020767211914,2,0.9997678737233054,0.00023212627669452182,5,5,leaf,0.3,euclidean
0.6281042678256943,0.5422849059104919,673,0.4950161122945,0.5049838877055001,5,10,eom,0.0,euclidean
0.11308590549411257,-0.3193396031856537,19,0.9954120924135671,0.004587907586432902,5,10,eom,0.02,euclidean
0.5106568628756429,0.29248398542404175,3,0.9997269102627123,0.0002730897372876727,5,10,eom,0.05,euclidean
0.5378470277137958,0.3341725170612335,2,0.9997542192364411,0.00024578076355890547,5,10,eom,0.1,euclidean
0.5378470277137958,0.3341725170612335,2,0.9997542192364411,0.00024578076355890547,5,10,eom,0.2,euclidean
0.5378470277137958,0.3341725170612335,2,0.9997542192364411,0.00024578076355890547,5,10,eom,0.3,euclidean
0.6243739769788095,0.6113923788070679,884,0.3213310393795401,0.6786689606204599,5,10,leaf,0.0,euclidean
0.11308590549411257,-0.3193396031856537,19,0.9954120924135671,0.004587907586432902,5,10,leaf,0.02,euclidean
0.5106568628756429,0.29248398542404175,3,0.9997269102627123,0.0002730897372876727,5,10,leaf,0.05,euclidean
0.5378470277137958,0.3341725170612335,2,0.9997542192364411,0.00024578076355890547,5,10,leaf,0.1,euclidean
0.5378470277137958,0.3341725170612335,2,0.9997542192364411,0.00024578076355890547,5,10,leaf,0.2,euclidean
0.5378470277137958,0.3341725170612335,2,0.9997542192364411,0.00024578076355890547,5,10,leaf,0.3,euclidean
0.6137171650526662,0.5234055519104004,496,0.4911109290512862,0.5088890709487137,5,15,eom,0.0,euclidean
0.15149721930725504,-0.251726895570755,15,0.9923534873559452,0.007646512644054837,5,15,eom,0.02,euclidean
